15, 29.0, 29.0, 29.0, 29.0, 29.0, 29.0
16, 31.666666666666668, 31.0, 31.0, 31.0, 31.0, 31.0
17, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0
18, 35.666666666666664, 35.0, 35.0, 35.0, 35.0, 35.0
19, 37.0, 37.0, 37.666666666666664, 37.0, 37.0, 37.0
20, 39.0, 40.333333333333336, 39.666666666666664, 39.666666666666664, 40.333333333333336, 39.0
21, 43.0, 41.0, 42.333333333333336, 41.0, 42.333333333333336, 41.0
22, 43.666666666666664, 44.333333333333336, 43.0, 43.0, 43.666666666666664, 43.0
23, 47.666666666666664, 46.333333333333336, 47.0, 45.0, 45.0, 45.0
24, 49.666666666666664, 49.0, 49.0, 49.0, 48.333333333333336, 47.0
25, 56.333333333333336, 52.333333333333336, 52.333333333333336, 49.0, 49.666666666666664, 49.0
26, 53.0, 54.333333333333336, 51.666666666666664, 53.0, 55.0, 51.0
27, 54.333333333333336, 54.333333333333336, 54.333333333333336, 54.333333333333336, 55.666666666666664, 53.0
28, 59.0, 60.333333333333336, 58.333333333333336, 59.0, 57.0, 55.0
29, 61.0, 61.666666666666664, 60.333333333333336, 60.333333333333336, 61.666666666666664, 57.0
30, 65.0, 61.666666666666664, 64.33333333333333, 63.666666666666664, 62.333333333333336, 59.0
31, 69.0, 67.0, 65.66666666666667, 65.0, 69.0, 61.0
32, 69.0, 69.0, 69.0, 74.33333333333333, 69.66666666666667, 63.0
33, 73.66666666666667, 74.33333333333333, 72.33333333333333, 70.33333333333333, 75.0, 65.0
34, 73.0, 75.66666666666667, 73.66666666666667, 77.0, 69.0, 67.0
35, 79.66666666666667, 77.66666666666667, 75.0, 79.0, 79.0, 69.0
